Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike,pickup_hex8,destination_hex8,pickup_hex8_lat,pickup_hex8_lon,destination_hex8_lat,destination_hex8_lon,pickup_area_name,dropoff_area_name
Abul Hotel,"23.754778817124492, 90.41540918143296",Armanitola,"23.716311404960187, 90.40133975433335",7.66,7.66,,,883cf13965fffff,883cf1760dfffff,23.752301733648824,90.41732740857326,23.71569454944354,90.40059958242752,"Chowdhury Para, Malibagh","Armanitola, Bangshal"
Abul Hotel,"23.754778817124492, 90.41540918143296",Azad Mosque (Dhanmondi),"23.723457876062444, 90.38910539637354",7.09,7.09,,,883cf13965fffff,883cf17645fffff,23.752301733648824,90.41732740857326,23.72353046472506,90.38673741136634,"Chowdhury Para, Malibagh","Azimpur Yateem Khana, Lalbagh"
Abul Hotel,"23.754778817124492, 90.41540918143296",Azampur,"23.867843070567336, 90.40013983176523",16.95,16.95,,,883cf13965fffff,883cf105b9fffff,23.752301733648824,90.41732740857326,23.86405178703082,90.40058395653176,"Chowdhury Para, Malibagh","Sector 4, Uttara"
Abul Hotel,"23.754778817124492, 90.41540918143296",Badda,"23.780568079273614, 90.42649619466724",3.22,3.22,,,883cf13965fffff,883cf13941fffff,23.752301733648824,90.41732740857326,23.781636627099605,90.42880080426934,"Chowdhury Para, Malibagh","Adarsha Nagar, Badda"
Abul Hotel,"23.754778817124492, 90.41540918143296",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163",4.81,4.81,,,883cf13965fffff,883cf17655fffff,23.752301733648824,90.41732740857326,23.730224356130343,90.41111421491782,"Chowdhury Para, Malibagh","Purana Paltan, Paltan"
Abul Hotel,"23.754778817124492, 90.41540918143296",Banani SuperMarket,"23.79350541605234, 90.40689722271105",6.72,6.72,,,883cf13965fffff,883cf13b25fffff,23.752301733648824,90.41732740857326,23.78975453851014,90.40537278031884,"Chowdhury Para, Malibagh","Block G, Banani"
Abul Hotel,"23.754778817124492, 90.41540918143296",Banani Block J,"23.796668895469587, 90.40603147773179",7.18,7.18,,,883cf13965fffff,883cf13b21fffff,23.752301733648824,90.41732740857326,23.797015608806998,90.41063144219832,"Chowdhury Para, Malibagh","Gulshan 2, Gulshan"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bangabandhu Sheikh Mujib Medical University (BSMMU),"23.738538737338253, 90.39536639492475",5.5,5.5,,,883cf13965fffff,883cf1764bfffff,23.752301733648824,90.41732740857326,23.738060039513314,90.3972511644559,"Chowdhury Para, Malibagh","Shahbagh, Ramna"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bangabazar,"23.72371785638331, 90.4058524372524",5.53,5.53,,,883cf13965fffff,883cf17609fffff,23.752301733648824,90.41732740857326,23.72295970521749,90.40585672411808,"Chowdhury Para, Malibagh","Siddique Bazar, Bangshal"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Block A,"23.811377299032795, 90.42833436467546",10.71,10.71,,,883cf13965fffff,883cf13b39fffff,23.752301733648824,90.41732740857326,23.811250597369582,90.43071322327503,"Chowdhury Para, Malibagh","Block E, Bashundhara R/A"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Block G,"23.825185513881646, 90.43336989142703",12.83,12.83,,,883cf13965fffff,883cf13b1dfffff,23.752301733648824,90.41732740857326,23.82605481057853,90.43166958137904,"Chowdhury Para, Malibagh","Block G, Bashundhara R/A"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Block L,"23.820766766555288, 90.44883331554995",12.1,12.1,,,883cf13965fffff,883cf13b17fffff,23.752301733648824,90.41732740857326,23.818223523141288,90.4455374080548,"Chowdhury Para, Malibagh","Block K, Bashundhara R/A"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara City Mall,"23.75121557936337, 90.39070746794054",4.19,4.19,,,883cf13965fffff,883cf10cbdfffff,23.752301733648824,90.41732740857326,23.753157519825887,90.3886449653357,"Chowdhury Para, Malibagh","Green Road, Panthapath"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Gate,"23.811875111391196, 90.4214912547236",11.25,11.25,,,883cf13965fffff,883cf13b07fffff,23.752301733648824,90.41732740857326,23.811536226315752,90.42114981356382,"Chowdhury Para, Malibagh","Nadda, Kalachandpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Bosila,"23.755536214623834, 90.3561451998845",8.55,8.55,,,883cf13965fffff,883cf10ce7fffff,23.752301733648824,90.41732740857326,23.75400792657669,90.3599650460391,"Chowdhury Para, Malibagh","Kedarabad Housing, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Brac University,"23.773372892644524, 90.42482029492592",2.67,2.67,,,883cf13965fffff,883cf13945fffff,23.752301733648824,90.41732740857326,23.774375128911405,90.42354165830746,"Chowdhury Para, Malibagh","South Badda, Badda"
Abul Hotel,"23.754778817124492, 90.41540918143296",BUET,"23.726717170489835, 90.39263491266497",6.43,6.43,,,883cf13965fffff,883cf17641fffff,23.752301733648824,90.41732740857326,23.730795504536182,90.39199411325372,"Chowdhury Para, Malibagh","Dhaka University, Shahbagh"
Abul Hotel,"23.754778817124492, 90.41540918143296",Chandni Chawk Market,"23.733968595123564, 90.38483127181993",7.12,7.13,,,883cf13965fffff,883cf1764dfffff,23.752301733648824,90.41732740857326,23.731080182872358,90.38243448248184,"Chowdhury Para, Malibagh","Azimpur, Lalbagh"
Abul Hotel,"23.754778817124492, 90.41540918143296",Curzon Hall,"23.72754625142948, 90.40189379492435",5.55,5.55,,,883cf13965fffff,883cf17643fffff,23.752301733648824,90.41732740857326,23.73051022896751,90.40155402423903,"Chowdhury Para, Malibagh","High-court Area, Shahbagh"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhaka College,"23.735731619622754, 90.38374921026826",8.0,8.0,,,883cf13965fffff,883cf17649fffff,23.752301733648824,90.41732740857326,23.73834491222074,90.3876911389497,"Chowdhury Para, Malibagh","Elephant Road, New Market"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhaka Medical College Hospital,"23.72582638915726, 90.39742002088578",6.0,6.0,,,883cf13965fffff,883cf17647fffff,23.752301733648824,90.41732740857326,23.72324538351322,90.39629692775954,"Chowdhury Para, Malibagh","Bakshi Bazar, Old Dhaka"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi  Road 13,"23.7534501255474, 90.37614999961175",5.8,5.8,,,883cf13965fffff,883cf10cabfffff,23.752301733648824,90.41732740857326,23.753441586408567,90.37908471110562,"Chowdhury Para, Malibagh","Shukrabad, Dhanmondi 32"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi  Road 13A,"23.749643437271462, 90.36993975614091",7.38,7.38,,,883cf13965fffff,883cf10ca9fffff,23.752301733648824,90.41732740857326,23.753725055313375,90.36952473783344,"Chowdhury Para, Malibagh","Block D, Lalmatia"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Lake,"23.747590981285224, 90.37807190540613",7.05,7.05,,,883cf13965fffff,883cf10ca1fffff,23.752301733648824,90.41732740857326,23.74617747845789,90.37382814567574,"Chowdhury Para, Malibagh","Residential Area, Dhanmondi"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 2,"23.739141333933283, 90.38122386493468",6.91,6.91,,,883cf13965fffff,883cf10ca7fffff,23.752301733648824,90.41732740857326,23.738629187547115,90.37813139390512,"Chowdhury Para, Malibagh","Residential Area, Dhanmondi"
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 5,"23.742494162158316, 90.38167325780455",5.98,5.98,,,883cf13965fffff,883cf10ca3fffff,23.752301733648824,90.41732740857326,23.745893606275327,90.3833880048871,"Chowdhury Para, Malibagh","Residential Area, Dhanmondi"
Abul Hotel,"23.754778817124492, 90.41540918143296",Donia,"23.70373276674018, 90.44888702333212",9.95,10.01,,,883cf13965fffff,883cf176e5fffff,23.752301733648824,90.41732740857326,23.69943962046722,90.44744388958888,"Chowdhury Para, Malibagh","Doniya, Jatrabari"
Abul Hotel,"23.754778817124492, 90.41540918143296",East Rampura,"23.760466063044532, 90.42019006001247",1.09,1.09,,,883cf13965fffff,883cf13961fffff,23.752301733648824,90.41732740857326,23.75956455674625,90.42258590147064,"Chowdhury Para, Malibagh","East Rampura, Rampura"
Abul Hotel,"23.754778817124492, 90.41540918143296",Gabtoli,"23.78375365953661, 90.34394491819548",12.87,12.87,,,883cf13965fffff,883cf10c1bfffff,23.752301733648824,90.41732740857326,23.78418947258472,90.3427493651436,"Chowdhury Para, Malibagh","Bagbari, Gabtoli"
Abul Hotel,"23.754778817124492, 90.41540918143296",Golapbagh,"23.718521712715287, 90.42874810241406",7.98,7.98,,,883cf13965fffff,883cf17615fffff,23.752301733648824,90.41732740857326,23.71483451582931,90.42927946437668,"Chowdhury Para, Malibagh","Brammonchiron, Sayedabad"
Abul Hotel,"23.754778817124492, 90.41540918143296",Gulshan 1,"23.782041809012444, 90.41583890444907",4.59,4.59,,,883cf13965fffff,883cf1394dfffff,23.752301733648824,90.41732740857326,23.781922670213092,90.41923841308096,"Chowdhury Para, Malibagh","Gulshan 1, Gulshan"
Abul Hotel,"23.754778817124492, 90.41540918143296",Hatirjheel,"23.76902204182111, 90.42262363725398",4.52,4.52,,,883cf13965fffff,883cf13969fffff,23.752301733648824,90.41732740857326,23.767113123665496,90.41828286133764,"Chowdhury Para, Malibagh","Ulon, Rampura"
Abul Hotel,"23.754778817124492, 90.41540918143296",Ittefaq Mor,"23.721547707395114, 90.42111636584217",5.96,5.96,,,883cf13965fffff,883cf1761dfffff,23.752301733648824,90.41732740857326,23.722386557230863,90.42497715465107,"Chowdhury Para, Malibagh","Gopibag, Tikatuli"
Abul Hotel,"23.754778817124492, 90.41540918143296",Jagannath University,"23.708881117200264, 90.41038871597911",7.21,7.21,,,883cf13965fffff,883cf17607fffff,23.752301733648824,90.41732740857326,23.707856519272116,90.41446164400531,"Chowdhury Para, Malibagh","Laxmibazar, Sutrapur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Japan Garden City,"23.764672297272995, 90.35849825973594",8.83,8.83,,,883cf13965fffff,883cf10ce1fffff,23.752301733648824,90.41732740857326,23.76155438552596,90.35566136491688,"Chowdhury Para, Malibagh","Mohammadia Housing Limited, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Kakrail,"23.7387925105459, 90.40645995663675",4.08,4.13,,,883cf13965fffff,883cf1765dfffff,23.752301733648824,90.41732740857326,23.73777456938876,90.40681146990369,"Chowdhury Para, Malibagh","Kakrail, Ramna"
Abul Hotel,"23.754778817124492, 90.41540918143296",Karwan Bazar,"23.75238303755729, 90.39412694572513",4.3,4.3,,,883cf13965fffff,883cf10cb1fffff,23.752301733648824,90.41732740857326,23.75287285552909,90.39820550000373,"Chowdhury Para, Malibagh","Kawran Bazar, Tejgaon"
Abul Hotel,"23.754778817124492, 90.41540918143296",Kazipara,"23.80025882562028, 90.37172893669218",10.21,10.21,,,883cf13965fffff,883cf10eb7fffff,23.752301733648824,90.41732740857326,23.79815056996742,90.37238375418475,"Chowdhury Para, Malibagh","West Kazipara, Mirpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Keraniganj,"23.701260609497933, 90.39758820710036",8.64,8.64,,,883cf13965fffff,883cf17629fffff,23.752301733648824,90.41732740857326,23.70087703236507,90.3996452394697,"Chowdhury Para, Malibagh","Aganagar, Keraniganj"
Abul Hotel,"23.754778817124492, 90.41540918143296",Linked Road,"23.74588618408847, 90.39368209492494",4.55,4.55,,,883cf13965fffff,883cf10cb5fffff,23.752301733648824,90.41732740857326,23.745609136563264,90.39294814480824,"Chowdhury Para, Malibagh","Paribagh, Shahbagh"
Abul Hotel,"23.754778817124492, 90.41540918143296",Madani Avenue,"23.796522119458537, 90.41892630380953",7.24,7.24,,,883cf13965fffff,883cf13b23fffff,23.752301733648824,90.41732740857326,23.796730371644948,90.42019406381806,"Chowdhury Para, Malibagh","Madani Avenue Baridhara, Notun Bazar"
Abul Hotel,"23.754778817124492, 90.41540918143296",Mirpur 1,"23.799924575462516, 90.35540223205751",12.61,12.61,,,883cf13965fffff,883cf10ea3fffff,23.752301733648824,90.41732740857326,23.79871445856369,90.35326159654096,"Chowdhury Para, Malibagh","Block F, Mirpur 1"
Abul Hotel,"23.754778817124492, 90.41540918143296",Mirpur 10,"23.80719467382045, 90.36908602159754",11.04,11.04,,,883cf13965fffff,883cf10eb1fffff,23.752301733648824,90.41732740857326,23.80569435248921,90.36807957086396,"Chowdhury Para, Malibagh","Folpotti, Mirpur 10"
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohakhali,"23.777854677596434, 90.40604839490996",5.67,5.67,,,883cf13965fffff,883cf10c91fffff,23.752301733648824,90.41732740857326,23.774946225704827,90.40441794294416,"Chowdhury Para, Malibagh","Dakkhinpara, Mohakhali"
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohakhali DOHS,"23.78278751597978, 90.39544927255388",8.3,8.3,,,883cf13965fffff,883cf10c99fffff,23.752301733648824,90.41732740857326,23.782492961011723,90.40011446771334,"Chowdhury Para, Malibagh","Block L, Banani"
Abul Hotel,"23.754778817124492, 90.41540918143296",Mohammadpur,"23.7663733521534, 90.35838993349377",9.02,9.02,,,883cf13965fffff,883cf10cebfffff,23.752301733648824,90.41732740857326,23.768818065694155,90.36091744346868,"Chowdhury Para, Malibagh","Shyamoli, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Monipuripara,"23.761551705506246, 90.38597592588681",5.55,5.57,,,883cf13965fffff,883cf10c87fffff,23.752301733648824,90.41732740857326,23.760705189009908,90.38434162607795,"Chowdhury Para, Malibagh","Monipuripara, Tejgaon"
Abul Hotel,"23.754778817124492, 90.41540918143296",Nabinagar Housing,"23.75914645303138, 90.34560142302898",10.05,10.05,,,883cf13965fffff,883cf10cedfffff,23.752301733648824,90.41732740857326,23.76183625547636,90.34610184166168,"Chowdhury Para, Malibagh","Nabi Nagar Housing, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Nakhalpara,"23.770702222003415, 90.39587895540527",5.39,5.39,,,883cf13965fffff,883cf10c95fffff,23.752301733648824,90.41732740857326,23.76768382991121,90.39915993441797,"Chowdhury Para, Malibagh","East Nakhalpara, Tejgaon"
Abul Hotel,"23.754778817124492, 90.41540918143296",Narinda,"23.710683127844753, 90.4205271484302",7.65,7.65,,,883cf13965fffff,883cf17639fffff,23.752301733648824,90.41732740857326,23.707569439103068,90.42402148974176,"Chowdhury Para, Malibagh","Dhupkhola, Gendaria"
Abul Hotel,"23.754778817124492, 90.41540918143296",Naya Paltan,"23.73459027801036, 90.41371487931436",4.54,4.54,,,883cf13965fffff,883cf17651fffff,23.752301733648824,90.41732740857326,23.737488501811157,90.41637205477298,"Chowdhury Para, Malibagh","Shantinagar, Kakrail"
Abul Hotel,"23.754778817124492, 90.41540918143296",Niketan,"23.773793555853857, 90.41078375783205",5.82,5.82,,,883cf13965fffff,883cf10c93fffff,23.752301733648824,90.41732740857326,23.774660976459952,90.41397966107492,"Chowdhury Para, Malibagh","Gulshan 1, Gulshan"
Abul Hotel,"23.754778817124492, 90.41540918143296",Noor jahan Road,"23.760621916497936, 90.36176280206402",8.96,8.45,,,883cf13965fffff,883cf10ce3fffff,23.752301733648824,90.41732740857326,23.76127191782245,90.36522117041784,"Chowdhury Para, Malibagh","Sher Shah Suri Road, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Postogola,"23.693064987141877, 90.43013918400378",11.33,11.33,,,883cf13965fffff,883cf17637fffff,23.752301733648824,90.41732740857326,23.69246259962913,90.43262553904646,"Chowdhury Para, Malibagh","Postogola, Shyampur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Shahjadpur,"23.791699886032266, 90.42491413547074",6.32,6.32,,,883cf13965fffff,883cf13949fffff,23.752301733648824,90.41732740857326,23.789183856737147,90.42449751415508,"Chowdhury Para, Malibagh","North Badda, Badda"
Abul Hotel,"23.754778817124492, 90.41540918143296",Shewrapara,"23.79094369753041, 90.37486012421229",9.17,9.17,,,883cf13965fffff,883cf10cddfffff,23.752301733648824,90.41732740857326,23.79060607175627,90.37668777785234,"Chowdhury Para, Malibagh","East Shewrapara, Mirpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Shishu Hospital,"23.774720021541565, 90.3696989138121",10.57,10.57,,,883cf13965fffff,883cf10cc7fffff,23.752301733648824,90.41732740857326,23.77608124036896,90.36617387184424,"Chowdhury Para, Malibagh","Shyamoli, Mohammadpur"
Abul Hotel,"23.754778817124492, 90.41540918143296",Tejgaon Industrial Area,"23.760019431424492, 90.39129990553859",4.53,4.53,,,883cf13965fffff,883cf10cb9fffff,23.752301733648824,90.41732740857326,23.76042092782806,90.39390227519722,"Chowdhury Para, Malibagh","Tejkunipara, Tejgaon"
Abul Hotel,"23.754778817124492, 90.41540918143296",UIU,"23.798010494541813, 90.44969926609087",8.5,8.5,,,883cf13965fffff,883cf13959fffff,23.752301733648824,90.41732740857326,23.795871067089926,90.44888359942854,"Chowdhury Para, Malibagh","Madani Avenue, 100 Feet Road"
Agargaon,"23.778368928990123, 90.37892726054524",Adabar,"23.773306970492246, 90.3547037547482",4.0,4.0,,,883cf10c89fffff,883cf10cc5fffff,23.775798383977737,90.37573446836544,23.7763634986377,90.3566135570256,"Agargaon, Sher-E-Bangla Nagar","Kallyanpur, Mirpur"
Agargaon,"23.778368928990123, 90.37892726054524",Aftabnagar Block H,"23.761367264147058, 90.44274203622952",10.59,9.43,,,883cf10c89fffff,883cf13905fffff,23.775798383977737,90.37573446836544,23.75899065271905,90.44170971287978,"Agargaon, Sher-E-Bangla Nagar","Block L, South Banasree"
Agargaon,"23.778368928990123, 90.37892726054524",Ansarbagh,"23.757823773705237, 90.43551384618688",11.39,8.59,,,883cf10c89fffff,883cf13963fffff,23.775798383977737,90.37573446836544,23.759277903753738,90.43214766813276,"Agargaon, Sher-E-Bangla Nagar","Bhuiyapara, Meradia"
