p_hex8,d_hex8,ride_count
883c029915fffff,883c02990bfffff,26
883cf13b15fffff,883cf13b25fffff,26
883c029903fffff,883c02993bfffff,26
883c02995bfffff,883c029939fffff,26
883c02993dfffff,883c029935fffff,26
883c0299edfffff,883c029917fffff,26
883c029907fffff,883c02990dfffff,26
883c029907fffff,883c02993dfffff,26
883c02d6d9fffff,883c02d6d9fffff,26
883c029957fffff,883c02995bfffff,26
883c02993bfffff,883c029903fffff,26
883c02d6d9fffff,883c0299edfffff,26
883c029915fffff,883c0299cdfffff,26
883c0299c7fffff,883c029989fffff,26
883cf17649fffff,883cf13945fffff,26
883c02991dfffff,883c02993bfffff,26
883c02993dfffff,883c02992bfffff,26
883c0299a9fffff,883c029939fffff,25
883c029989fffff,883c0299d5fffff,25
883c029989fffff,883c0299d7fffff,25
883c02990bfffff,883c029915fffff,25
883c029909fffff,883c029939fffff,25
883c02991dfffff,883c029953fffff,25
883c029905fffff,883c02993dfffff,25
883cf10cebfffff,883cf13945fffff,25
883c029907fffff,883c029915fffff,25
883cf105b9fffff,883cf13b03fffff,25
883cf105b7fffff,883cf13b15fffff,25
883c02992bfffff,883c029907fffff,25
883c029937fffff,883c029939fffff,25
883cf13b25fffff,883cf13b15fffff,25
883c0299ddfffff,883c029989fffff,25
883cf17659fffff,883cf13945fffff,25
883c029939fffff,883c02992dfffff,25
883cf10ce1fffff,883cf13b25fffff,25
883c02993bfffff,883c02991dfffff,25
883c029937fffff,883c029903fffff,25
883c02881dfffff,883c02881dfffff,25
883cf13b39fffff,883cf105b7fffff,25
883c0299e5fffff,883c02993bfffff,25
883c029867fffff,883c029863fffff,24
883c0299c3fffff,883c0299c5fffff,24
883c029903fffff,883c0299edfffff,24
883c029911fffff,883c02993bfffff,24
883c02990dfffff,883c029903fffff,24
883c029953fffff,883c02982dfffff,24
883c02d6cbfffff,883c02d6c9fffff,24
883cf10587fffff,883cf13b03fffff,24
883cf13b39fffff,883cf13b27fffff,24
883c029915fffff,883c029957fffff,24
883c029935fffff,883c029939fffff,24
883c029937fffff,883c02d6d9fffff,24
883cf10cabfffff,883cf13945fffff,24
883c029907fffff,883c029927fffff,24
883c02993dfffff,883c02990bfffff,24
883c029939fffff,883c029929fffff,23
883c029935fffff,883c029951fffff,23
883cf13b03fffff,883cf105b9fffff,23
883c0299ebfffff,883c0299e5fffff,23
883c029933fffff,883c0299e5fffff,23
883cf13b25fffff,883cf1394dfffff,23
883cf13b25fffff,883cf13945fffff,23
883cf17659fffff,883cf1394dfffff,23
883c029917fffff,883c029903fffff,23
883c0299d7fffff,883c029989fffff,23
883c029915fffff,883c029913fffff,23
883c02998bfffff,883c029989fffff,23
883c0299edfffff,883c02993bfffff,23
883c029903fffff,883c02d6c9fffff,23
883cf10ce1fffff,883cf13945fffff,23
883c02993bfffff,883c0299e5fffff,23
883c02993bfffff,883c0299edfffff,23
883c029957fffff,883c02991dfffff,23
883c029939fffff,883c029963fffff,23
883c02d6dbfffff,883c0299e5fffff,23
883c02993bfffff,883c029935fffff,23
883c02993dfffff,883c029929fffff,23
883cf10ce1fffff,883cf10c97fffff,23
883c02993dfffff,883c029927fffff,23
883c02993dfffff,883c029967fffff,23
883c02982dfffff,883c029953fffff,23
883c029951fffff,883c02982dfffff,23
883cf13b55fffff,883cf13b03fffff,23
883c02991dfffff,883c029915fffff,23
883c02991dfffff,883c029911fffff,22
883cf17655fffff,883cf10c97fffff,22
883c0299c5fffff,883c0299cbfffff,22
883cf10cb5fffff,883cf10c93fffff,22
883cf10cb5fffff,883cf1392dfffff,22
883c029829fffff,883c029953fffff,22
883cf13905fffff,883cf13b25fffff,22
883c029953fffff,883c0299a9fffff,22
883cf10ce7fffff,883cf13945fffff,22
883c029907fffff,883c029967fffff,22
883c02993dfffff,883c02991dfffff,22
883cf13945fffff,883cf13b21fffff,22
883c02d689fffff,883c02d6c1fffff,22
883cf1396bfffff,883cf13b21fffff,22
883c02995bfffff,883c0299a9fffff,22
883c02995bfffff,883c029863fffff,22
883c02d6c9fffff,883c02d6c9fffff,22
883c02d6c9fffff,883c02d6c1fffff,22
883c029905fffff,883c029939fffff,22
883c0299e9fffff,883c0299c5fffff,22
883cf13b03fffff,883cf17651fffff,22
883cf13b15fffff,883cf10c93fffff,22
883cf13b15fffff,883cf105b7fffff,22
883cf13b15fffff,883cf1394dfffff,22
883c029903fffff,883c029917fffff,22
883c02991dfffff,883c029863fffff,22
883c029939fffff,883c029905fffff,22
883c029989fffff,883c0299c7fffff,22
883c0299a9fffff,883c02993dfffff,22
883c029913fffff,883c029903fffff,21
883c029867fffff,883c029939fffff,21
883c02d699fffff,883c02d699fffff,21
883cf1396bfffff,883cf1394dfffff,21
883c029903fffff,883c029955fffff,21
883c0299e9fffff,883c029939fffff,21
883cf13905fffff,883cf10c97fffff,21
883c02d6d9fffff,883c029937fffff,21
883c02d6d9fffff,883c029915fffff,21
883cf13905fffff,883cf13b21fffff,21
883cf13945fffff,883cf10ca7fffff,21
883cf13945fffff,883cf10cbdfffff,21
883cf13945fffff,883cf10c99fffff,21
883c029953fffff,883c029953fffff,21
883c029939fffff,883c029967fffff,21
883c02990bfffff,883c0299a9fffff,21
883c029907fffff,883c02991dfffff,21
883c029951fffff,883c029863fffff,21
