Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
Abdullahpur,"23.878798883513277, 90.40140566107303",Aftabnagar Block C,"23.76599057441033, 90.43086163011533",13.82,13.82,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Ahsan Manzil,"23.708817214034582, 90.40605307282843",21.54,21.32,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Airport Railway Station,"23.85187216330197, 90.40808625149042",3.41,3.41,,
Abdullahpur,"23.878798883513277, 90.40140566107303",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",11.56,11.56,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Ashkuna Haji Camp,"23.850536914491794, 90.41196425630297",3.8,3.8,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block A,"23.811377299032795, 90.42833436467546",9.01,9.01,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block B,"23.81421995228443, 90.4275173084465",8.95,8.95,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block C,"23.81949603415762, 90.42738524683234",9.61,9.61,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block D,"23.815210726954167, 90.43302101821708",9.56,9.56,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block E,"23.81019793984092, 90.4327785621583",9.63,9.63,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block F,"23.821188569971465, 90.4332893983635",11.41,11.41,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block I,"23.82042119889173, 90.43856529566207",11.28,11.28,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Gate,"23.811875111391196, 90.4214912547236",9.55,9.55,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Brac University,"23.773372892644524, 90.42482029492592",14.63,14.63,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Buriganga Bridge,"23.70898069854497, 90.40159267958012",22.29,22.29,,
Abdullahpur,"23.878798883513277, 90.40140566107303",DIT Project,"23.773401431652626, 90.42539669118638",15.1,15.1,,
Abdullahpur,"23.878798883513277, 90.40140566107303",East West University,"23.768805486749752, 90.42546167958218",13.12,13.12,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Evercare Hospital,"23.810482241984165, 90.43129699095799",9.42,9.42,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Gulshan 1,"23.782041809012444, 90.41583890444907",13.04,13.04,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Islampur,"23.71111601031198, 90.4054698660879",21.18,21.18,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Jamuna Future Park,"23.81379627952912, 90.42422856609141",8.14,8.14,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Kuril,"23.819103914136477, 90.42182338455416",11.82,11.82,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Kurmitola,"23.849581476455512, 90.40692877671945",6.49,6.49,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Malibagh,"23.748206666885658, 90.41264211577844",15.55,15.55,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Mitford Hospital,"23.710241130066684, 90.40146387971537",21.28,21.28,,
Abdullahpur,"23.878798883513277, 90.40140566107303",North South University,"23.815277538796973, 90.42547076424017",8.93,8.93,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Shahjadpur,"23.791699886032266, 90.42491413547074",10.39,10.39,,
Abdullahpur,"23.878798883513277, 90.40140566107303",Shakhari Bazar,"23.710126004019056, 90.40968349492377",21.31,21.31,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Agargaon,"23.778368928990123, 90.37892726054524",7.75,7.75,,
