pickup_hex_9,dropoff_hex_9,ride_count
893cf13b02bffff,893cf10caafffff,8
893cf105b63ffff,893cf17650bffff,8
893cf10c863ffff,893cf1394dbffff,8
893cf1394dbffff,893cf13969bffff,8
893cf10ceabffff,893cf10cbcfffff,8
893cf13b247ffff,893cf1396b3ffff,8
893cf13944fffff,893cf10c98fffff,8
893cf13b20fffff,893cf10c90bffff,8
893cf139627ffff,893cf10c923ffff,8
893cf17650bffff,893cf10cb4bffff,8
893cf10e877ffff,893cf10e983ffff,8
893cf139583ffff,893cf13b2a3ffff,8
893cf176567ffff,893cf10ca33ffff,8
893cf176043ffff,893cf13b277ffff,8
893cf13b02bffff,893cf10ca63ffff,8
893cf10ca53ffff,893cf139443ffff,8
893cf176457ffff,893cf139443ffff,8
893cf13b153ffff,893cf10c937ffff,8
893cf176483ffff,893cf10d977ffff,8
893cf10cd0bffff,893cf139443ffff,8
893cf139417ffff,893cf176087ffff,8
893cf10cbcfffff,893cf13b077ffff,8
893cf10c91bffff,893cf139497ffff,8
893cf13b22fffff,893cf10cc4bffff,8
893cf13b20bffff,893cf139447ffff,8
893cf13b257ffff,893cf1392d7ffff,8
893cf13904fffff,893cf10c9abffff,8
893cf13944fffff,893cf13b243ffff,8
893cf10cdbbffff,893cf13b037ffff,8
893cf10c877ffff,893cf13b247ffff,8
893cf176453ffff,893cf139443ffff,8
893cf139047ffff,893cf13b02fffff,8
893cf176e57ffff,893cf176407ffff,8
893cf10c95bffff,893cf10ceb3ffff,8
893cf10cdbbffff,893cf139443ffff,8
893cf10ca87ffff,893cf139443ffff,8
893cf13b0b3ffff,893cf1396b3ffff,8
893cf1058bbffff,893cf105b73ffff,8
893cf105953ffff,893cf13b02bffff,8
893cf13b02bffff,893cf10e9dbffff,8
893cf13944fffff,893cf10cb1bffff,8
893cf13b02fffff,893cf1058abffff,8
893cf1765a3ffff,893cf176e57ffff,8
893cf1763bbffff,893cf17659bffff,8
893cf1394dbffff,893cf139647ffff,8
893cf13944fffff,893cf10caafffff,8
893cf1394c7ffff,893cf13b257ffff,8
893cf10d933ffff,893cf10cb57ffff,8
893cf13b44bffff,893cf13b02bffff,8
893cf10ce63ffff,893cf10caafffff,8
893cf10ce33ffff,893cf10cbcfffff,8
893cf1394dbffff,893cf10cbcfffff,8
893cf10ca1bffff,893cf10cc63ffff,8
893cf1394c7ffff,893cf10c973ffff,8
893cf105b7bffff,893cf176033ffff,8
893cf13b193ffff,893cf13b26fffff,8
893cf10c84bffff,893cf139443ffff,8
893cf10cbc3ffff,893cf10eb5bffff,8
893cf13b02bffff,893cf10c9bbffff,8
893cf10cb57ffff,893cf139443ffff,8
893cf13b02bffff,893cf13b247ffff,8
893cf10c973ffff,893cf176407ffff,8
893cf105b7bffff,893cf13b397ffff,8
893cf13b157ffff,893cf13b257ffff,8
893cf17658bffff,893cf105b17ffff,8
893cf13b393ffff,893cf10c973ffff,8
893cf13b393ffff,893cf10c937ffff,8
893cf10caafffff,893cf10c977ffff,8
893cf1394dbffff,893cf13b6b3ffff,8
893cf1760cfffff,893cf10ca33ffff,8
893cf10d96fffff,893cf139647ffff,8
893cf13b02bffff,893cf139653ffff,8
893cf13963bffff,893cf13b02bffff,8
893cf139407ffff,893cf176e33ffff,8
893cf105b17ffff,893cf13b02bffff,8
893cf10cca3ffff,893cf10c90bffff,8
893cf1396abffff,893cf13b257ffff,8
893cf13b253ffff,893cf13944fffff,8
893cf139633ffff,893cf13b20fffff,8
893cf13b02bffff,893cf13b54bffff,8
893cf13b02bffff,893cf10c9afffff,8
893cf13b253ffff,893cf10c91bffff,8
893cf10cc3bffff,893cf10c977ffff,8
893cf10ca63ffff,893cf17658bffff,7
893cf13b067ffff,893cf13b543ffff,7
