p_hex8,d_hex8,ride_count
883cf10cd1fffff,883cf13945fffff,36
883cf17655fffff,883cf10cbdfffff,36
883cf10c93fffff,883cf17657fffff,36
883cf105b7fffff,883cf13949fffff,36
883cf10ca9fffff,883cf13b21fffff,36
883cf17655fffff,883cf1394dfffff,36
883cf13905fffff,883cf13b03fffff,36
883cf13b03fffff,883cf10cabfffff,36
883cf10cabfffff,883cf13b25fffff,36
883cf13969fffff,883cf13b25fffff,36
883cf1396bfffff,883cf10cb5fffff,36
883cf10cd9fffff,883cf13b03fffff,36
883cf13b21fffff,883cf13969fffff,36
883cf10cb5fffff,883cf13b21fffff,36
883cf13b03fffff,883cf13905fffff,36
883cf13945fffff,883cf10ca7fffff,36
883cf13b03fffff,883cf13949fffff,36
883cf13b15fffff,883cf10c97fffff,36
883cf1394dfffff,883cf13b55fffff,35
883cf10ce1fffff,883cf1394dfffff,35
883cf13945fffff,883cf10c99fffff,35
883cf13b15fffff,883cf105b9fffff,35
883cf13b03fffff,883cf10ca9fffff,35
883cf10c93fffff,883cf13b27fffff,35
883cf17655fffff,883cf10cb5fffff,35
883cf13b21fffff,883cf10c93fffff,35
883cf13905fffff,883cf10cbdfffff,35
883cf13b27fffff,883cf13b03fffff,35
883cf13b25fffff,883cf13b07fffff,35
883cf13969fffff,883cf13b21fffff,35
883cf10ca1fffff,883cf13b25fffff,35
883cf10ca9fffff,883cf1394dfffff,35
883cf1396bfffff,883cf13b27fffff,35
883cf1396bfffff,883cf17649fffff,35
883cf17657fffff,883cf1394dfffff,34
883cf13905fffff,883cf10c91fffff,34
883cf13b27fffff,883cf10c93fffff,34
883cf13b07fffff,883cf13965fffff,34
883cf13b25fffff,883cf13b39fffff,34
883cf13b03fffff,883cf13b55fffff,34
883cf13963fffff,883cf13b25fffff,34
883cf10c9dfffff,883cf13b03fffff,34
883cf17659fffff,883cf13b21fffff,34
883cf13b21fffff,883cf13965fffff,34
883cf13b21fffff,883cf10ce1fffff,34
883cf10ca3fffff,883cf10c93fffff,34
883cf13b25fffff,883cf10c93fffff,34
883cf17655fffff,883cf13945fffff,34
883cf13945fffff,883cf17655fffff,34
883cf10c93fffff,883cf13b07fffff,34
883cf13905fffff,883cf17657fffff,34
883cf17647fffff,883cf13945fffff,34
883cf13b1dfffff,883cf13b27fffff,34
883cf10c93fffff,883cf13b23fffff,34
883cf1394dfffff,883cf10cabfffff,34
883cf10c93fffff,883cf10cb7fffff,34
883cf1394dfffff,883cf13b03fffff,34
883cf13905fffff,883cf13b21fffff,34
883cf1394dfffff,883cf1396bfffff,33
883cf13945fffff,883cf13b07fffff,33
883cf13941fffff,883cf13b21fffff,33
883cf1392dfffff,883cf13b25fffff,33
883cf17649fffff,883cf17655fffff,33
883cf13945fffff,883cf10cabfffff,33
883cf13b03fffff,883cf105b7fffff,33
883cf13b21fffff,883cf13945fffff,33
883cf1394dfffff,883cf13b15fffff,33
883cf13949fffff,883cf17657fffff,33
883cf13b03fffff,883cf10cbdfffff,33
883cf17621fffff,883cf17601fffff,33
883cf10c93fffff,883cf10cbdfffff,33
883cf13945fffff,883cf17649fffff,33
883cf10c93fffff,883cf10ca7fffff,33
883cf10cabfffff,883cf10c97fffff,33
883cf1394dfffff,883cf13965fffff,33
883cf10ce9fffff,883cf10cbdfffff,33
883cf13b03fffff,883cf17651fffff,33
883cf10c99fffff,883cf13945fffff,33
883cf17655fffff,883cf13b27fffff,33
883cf13961fffff,883cf10c97fffff,33
883cf17651fffff,883cf1394dfffff,33
883cf13b07fffff,883cf13b27fffff,33
883cf10ca7fffff,883cf13945fffff,33
883cf10c97fffff,883cf17657fffff,32
883cf10cbdfffff,883cf13945fffff,32
883cf13b03fffff,883cf1058bfffff,32
883cf13961fffff,883cf1394dfffff,32
883cf1396bfffff,883cf17655fffff,32
883cf13969fffff,883cf10c93fffff,32
883cf17657fffff,883cf10c93fffff,32
883cf13963fffff,883cf13b03fffff,32
883cf17659fffff,883cf10cbdfffff,32
883cf17659fffff,883cf10ca3fffff,32
883cf13b25fffff,883cf13963fffff,32
883cf10cb5fffff,883cf17655fffff,32
883cf13b25fffff,883cf17657fffff,32
883cf10ca3fffff,883cf13b21fffff,32
883cf13b25fffff,883cf1394dfffff,32
883cf13965fffff,883cf13b21fffff,32
883cf13b21fffff,883cf13b55fffff,32
883cf13b21fffff,883cf13b45fffff,32
883cf10cb5fffff,883cf1765dfffff,32
883cf13b25fffff,883cf10eb1fffff,32
883cf105b7fffff,883cf17651fffff,32
883cf13b03fffff,883cf10e95fffff,32
883cf10ce1fffff,883cf10cb5fffff,32
883cf17655fffff,883cf10c97fffff,32
883cf13b21fffff,883cf10cabfffff,32
883cf17649fffff,883cf10cc5fffff,31
883cf13b25fffff,883cf17649fffff,31
883cf13b07fffff,883cf1396bfffff,31
883cf10ca9fffff,883cf10c93fffff,31
883cf10e9dfffff,883cf13b25fffff,31
883cf10ce3fffff,883cf10c97fffff,31
883cf17655fffff,883cf10ce7fffff,31
883cf10c93fffff,883cf13945fffff,31
883cf10cbdfffff,883cf10cc7fffff,31
883cf13949fffff,883cf17655fffff,31
883cf10cabfffff,883cf13b27fffff,31
883cf13b21fffff,883cf10c97fffff,31
883cf13945fffff,883cf10cb5fffff,31
883cf10e95fffff,883cf13b21fffff,31
883cf17655fffff,883cf13b07fffff,31
883cf10c97fffff,883cf17659fffff,31
883cf13b21fffff,883cf1394dfffff,31
883cf13b25fffff,883cf10c95fffff,31
883cf10cc7fffff,883cf13945fffff,31
883cf13965fffff,883cf10c93fffff,31
883cf13963fffff,883cf13b21fffff,31
883cf1396bfffff,883cf10c9bfffff,31
883cf10c97fffff,883cf13b25fffff,30
883cf13b15fffff,883cf13b23fffff,30
883cf17651fffff,883cf10c93fffff,30
883cf10cbdfffff,883cf10c99fffff,30
883cf10eb1fffff,883cf13b25fffff,30
883cf13905fffff,883cf10c9bfffff,30
883cf1394dfffff,883cf13b07fffff,30
883cf105b7fffff,883cf13b07fffff,30
883cf13b03fffff,883cf13959fffff,30
883cf1396bfffff,883cf17657fffff,30
883cf13b27fffff,883cf13961fffff,30
883cf10ca9fffff,883cf13b03fffff,30
883cf1396dfffff,883cf13b27fffff,30
883cf13b39fffff,883cf17659fffff,30
883cf10cabfffff,883cf10cebfffff,30
883cf13961fffff,883cf13b03fffff,30
883cf10ca1fffff,883cf17659fffff,30
883cf10ca9fffff,883cf17659fffff,30
883cf10ca3fffff,883cf10cc7fffff,30
883cf17649fffff,883cf1394dfffff,30
883cf10ca5fffff,883cf10c97fffff,30
883cf17649fffff,883cf17659fffff,30
883cf17649fffff,883cf10c93fffff,30
883cf17659fffff,883cf10cabfffff,30
883cf13b25fffff,883cf10ce1fffff,30
883cf13b55fffff,883cf13b25fffff,30
883cf10c97fffff,883cf10ca3fffff,30
883cf13961fffff,883cf10c99fffff,30
883cf13b25fffff,883cf10cb7fffff,29
883cf10cc5fffff,883cf13945fffff,29
883cf13b25fffff,883cf1765dfffff,29
883cf17651fffff,883cf13b03fffff,29
883cf17651fffff,883cf13b07fffff,29
883cf10e9dfffff,883cf13b03fffff,29
883cf13b03fffff,883cf17603fffff,29
883cf13b25fffff,883cf13949fffff,29
883cf17649fffff,883cf10c9bfffff,29
883cf17651fffff,883cf13b27fffff,29
883cf10c9dfffff,883cf13949fffff,29
883cf10c9bfffff,883cf13b07fffff,29
883cf10c9dfffff,883cf10cb5fffff,29
883cf13b03fffff,883cf13961fffff,29
883cf10ce3fffff,883cf10c93fffff,29
883cf10cb5fffff,883cf1392dfffff,29
883cf13945fffff,883cf10ca1fffff,29
883cf10cbdfffff,883cf10c93fffff,29
883cf10ce1fffff,883cf13b27fffff,29
883cf13905fffff,883cf17655fffff,29
883cf13b1dfffff,883cf1394dfffff,29
883cf13b21fffff,883cf10cb5fffff,29
883cf10cb1fffff,883cf13945fffff,29
883cf10cabfffff,883cf1394dfffff,29
883cf10ce7fffff,883cf10c97fffff,29
883cf17655fffff,883cf10c93fffff,29
883cf10cbdfffff,883cf10ce3fffff,29
883cf10c93fffff,883cf13b39fffff,29
883cf10cbdfffff,883cf13b03fffff,29
883cf10c9dfffff,883cf13b25fffff,29
883cf10ca1fffff,883cf13945fffff,29
883cf13965fffff,883cf13b25fffff,29
883cf13b21fffff,883cf13b39fffff,29
883cf17659fffff,883cf13b27fffff,29
883cf10ca3fffff,883cf10c9dfffff,29
883cf1396bfffff,883cf17659fffff,29
883cf10ca1fffff,883cf1394dfffff,29
883cf1392dfffff,883cf1394dfffff,28
883cf10ce9fffff,883cf13945fffff,28
883cf10ce9fffff,883cf1394dfffff,28
883cf13b03fffff,883cf13b2dfffff,28
883cf13b07fffff,883cf13b55fffff,28
883cf13b25fffff,883cf1392dfffff,28
883cf10cc5fffff,883cf10cabfffff,28
883cf10ca9fffff,883cf10c97fffff,28
883cf13961fffff,883cf10c93fffff,28
883cf13b39fffff,883cf13945fffff,28
883cf13965fffff,883cf10cbdfffff,28
883cf10c9dfffff,883cf10ca3fffff,28
883cf10cabfffff,883cf10c93fffff,28
883cf10ca7fffff,883cf17651fffff,28
883cf17657fffff,883cf10ca3fffff,28
