Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike,pickup_hex8,destination_hex8,pickup_hex8_lat,pickup_hex8_lon,destination_hex8_lat,destination_hex8_lon
100ft Road,"23.799495535917075, 90.44219899922044",Airport Railway Station,"23.85187216330197, 90.40808625149042",12.5,12.5,,,883cf13b37fffff,883cf105b7fffff,23.796158100822186,90.43932014295383,23.84896931531486,90.4091931192449
100ft Road,"23.799495535917075, 90.44219899922044",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",4.09,4.09,,,883cf13b37fffff,883cf13b03fffff,23.796158100822186,90.43932014295383,23.81879577278778,90.42640952294214
100ft Road,"23.799495535917075, 90.44219899922044",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163",10.88,10.88,,,883cf13b37fffff,883cf17655fffff,23.796158100822186,90.43932014295383,23.730224356130343,90.41111421491782
100ft Road,"23.799495535917075, 90.44219899922044",Banani SuperMarket,"23.79350541605234, 90.40689722271105",4.37,4.37,,,883cf13b37fffff,883cf13b25fffff,23.796158100822186,90.43932014295383,23.78975453851014,90.40537278031883
100ft Road,"23.799495535917075, 90.44219899922044",Banani Block J,"23.796668895469587, 90.40603147773179",4.83,4.83,,,883cf13b37fffff,883cf13b21fffff,23.796158100822186,90.43932014295383,23.797015608806994,90.41063144219831
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Block G,"23.825185513881646, 90.43336989142703",3.88,3.88,,,883cf13b37fffff,883cf13b1dfffff,23.796158100822186,90.43932014295383,23.82605481057853,90.43166958137904
100ft Road,"23.799495535917075, 90.44219899922044",Bashundhara Gate,"23.811875111391196, 90.4214912547236",3.93,3.93,,,883cf13b37fffff,883cf13b07fffff,23.796158100822186,90.43932014295383,23.811536226315752,90.42114981356382
100ft Road,"23.799495535917075, 90.44219899922044",Le Meridian,"23.836505783720128, 90.41820316827958",7.8,7.8,,,883cf13b37fffff,883cf13b55fffff,23.796158100822186,90.43932014295383,23.833883976460818,90.41780164148742
100ft Road,"23.799495535917075, 90.44219899922044",Malibagh,"23.748206666885658, 90.41264211577844",8.03,8.03,,,883cf13b37fffff,883cf17659fffff,23.796158100822186,90.43932014295383,23.74503840440612,90.41206926469967
100ft Road,"23.799495535917075, 90.44219899922044",Mohakhali DOHS,"23.78278751597978, 90.39544927255388",9.29,9.29,,,883cf13b37fffff,883cf10c99fffff,23.796158100822186,90.43932014295383,23.782492961011723,90.40011446771334
100ft Road,"23.799495535917075, 90.44219899922044",Nakhalpara,"23.770702222003415, 90.39587895540527",8.87,8.87,,,883cf13b37fffff,883cf10c95fffff,23.796158100822186,90.43932014295383,23.76768382991121,90.39915993441795
100ft Road,"23.799495535917075, 90.44219899922044",Niketan,"23.773793555853857, 90.41078375783205",6.78,6.78,,,883cf13b37fffff,883cf10c93fffff,23.796158100822186,90.43932014295383,23.774660976459952,90.41397966107493
Abdullahpur,"23.878798883513277, 90.40140566107303",Aftabnagar Block H,"23.761367264147058, 90.44274203622952",15.35,15.35,,,883cf1059dfffff,883cf13905fffff,23.878848792964828,90.40153887813072,23.758990652719046,90.44170971287978
Abdullahpur,"23.878798883513277, 90.40140566107303",Airport Railway Station,"23.85187216330197, 90.40808625149042",3.41,3.41,,,883cf1059dfffff,883cf105b7fffff,23.878848792964828,90.40153887813072,23.84896931531486,90.4091931192449
Abdullahpur,"23.878798883513277, 90.40140566107303",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",11.56,11.56,,,883cf1059dfffff,883cf13b03fffff,23.878848792964828,90.40153887813072,23.81879577278778,90.42640952294214
Abdullahpur,"23.878798883513277, 90.40140566107303",Banani SuperMarket,"23.79350541605234, 90.40689722271105",11.97,11.97,,,883cf1059dfffff,883cf13b25fffff,23.878848792964828,90.40153887813072,23.78975453851014,90.40537278031883
Abdullahpur,"23.878798883513277, 90.40140566107303",Banani Block J,"23.796668895469587, 90.40603147773179",11.76,11.76,,,883cf1059dfffff,883cf13b21fffff,23.878848792964828,90.40153887813072,23.797015608806994,90.41063144219831
Abdullahpur,"23.878798883513277, 90.40140566107303",Basabo,"23.74201426029004, 90.42840780452333",18.13,18.13,,,883cf1059dfffff,883cf1392dfffff,23.878848792964828,90.40153887813072,23.744465281698748,90.43119150118909
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block A,"23.811377299032795, 90.42833436467546",9.01,9.01,,,883cf1059dfffff,883cf13b39fffff,23.878848792964828,90.40153887813072,23.811250597369582,90.43071322327505
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block D,"23.815210726954167, 90.43302101821708",9.56,9.56,,,883cf1059dfffff,883cf13b15fffff,23.878848792964828,90.40153887813072,23.818509947651417,90.43597332650423
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Block G,"23.825185513881646, 90.43336989142703",11.26,11.26,,,883cf1059dfffff,883cf13b1dfffff,23.878848792964828,90.40153887813072,23.82605481057853,90.43166958137904
Abdullahpur,"23.878798883513277, 90.40140566107303",Bashundhara Gate,"23.811875111391196, 90.4214912547236",9.55,9.55,,,883cf1059dfffff,883cf13b07fffff,23.878848792964828,90.40153887813072,23.811536226315752,90.42114981356382
Abdullahpur,"23.878798883513277, 90.40140566107303",Brac University,"23.773372892644524, 90.42482029492592",14.63,14.63,,,883cf1059dfffff,883cf13945fffff,23.878848792964828,90.40153887813072,23.774375128911405,90.42354165830746
